ID	TableName	ForeignName	ViewKeyName	TableType	Description
1	app_ActivityDashboard	app.ActivityDashboard			
2	app_ConfigurationVariable	app.ConfigurationVariable			
3	app_DatabaseVersion	app.DatabaseVersion			
4	app_DataGateway	app.DataGateway			
5	app_Visit	app.Visit	ID		
9	data_DischargeActivity	data.DischargeActivity			
10	data_DischargeEstimatedObservation	data.DischargeEstimatedObservation			
11	data_DischargeVolumetricObservation	data.DischargeVolumetricObservation			
12	data_DisturbanceActivity	data.DisturbanceActivity			
13	data_DisturbanceFlowModification	data.DisturbanceFlowModification			
14	data_InvasivesActivity	data.InvasivesActivity			
15	data_InvasivesObservation	data.InvasivesObservation			
16	data_InvasivesPhoto	data.InvasivesPhoto			
17	data_Photo	data.Photo			
18	data_PhotoActivity	data.PhotoActivity			
19	data_RepeatPhoto	data.RepeatPhoto			
20	data_RepeatPhotoActivity	data.RepeatPhotoActivity			
21	data_RepeatPhotoObservation	data.RepeatPhotoObservation			
22	data_RiparianVegetationActivity	data.RiparianVegetationActivity			
23	data_RiparianVegetationObservation	data.RiparianVegetationObservation			
24	data_RiparianVegetationPhoto	data.RiparianVegetationPhoto			
25	data_SensorDeployment	data.SensorDeployment			
26	data_SensorImport	data.SensorImport			
27	data_SensorImportHeader	data.SensorImportHeader			
28	data_SensorRetrievalAttempt	data.SensorRetrievalAttempt			
29	data_Site	data.Site			
30	data_SpringbrookDimensions	data.SpringbrookDimensions			
31	data_Visit	data.Visit			
32	data_VisitPersonnel	data.VisitPersonnel			
33	data_WaterQualityActivity	data.WaterQualityActivity			
34	data_WaterQualityDO	data.WaterQualityDO			
35	data_WaterQualitypH	data.WaterQualitypH			
36	data_WaterQualitySpCond	data.WaterQualitySpCond			
37	data_WaterQualityTemperature	data.WaterQualityTemperature			
38	data_WildlifeActivity	data.WildlifeActivity			
39	data_WildlifeObservation	data.WildlifeObservation			
40	lookup_DataProcessingLevel	lookup.DataProcessingLevel			
41	lookup_DataQualityFlag	lookup.DataQualityFlag			
42	lookup_DischargeEstimatedFlag	lookup.DischargeEstimatedFlag			
43	lookup_DisturbanceClass	lookup.DisturbanceClass			
44	lookup_FlowCondition	lookup.FlowCondition			
45	lookup_FlowModificationStatus	lookup.FlowModificationStatus			
46	lookup_GRTSDraw	lookup.GRTSDraw			
47	lookup_GRTSPanel	lookup.GRTSPanel			
48	lookup_GRTSStatus	lookup.GRTSStatus			
49	lookup_HorizontalDatum	lookup.HorizontalDatum			
50	lookup_InvasivesObserved	lookup.InvasivesObserved			
51	lookup_IsDownloadSuccessful	lookup.IsDownloadSuccessful			
52	lookup_IsLibraryPhoto	lookup.IsLibraryPhoto			
53	lookup_IsSensorRetrieved	lookup.IsSensorRetrieved			
54	lookup_IsVegetationObserved	lookup.IsVegetationObserved			
55	lookup_IsWildlifeObserved	lookup.IsWildlifeObserved			
56	lookup_LifeForm	lookup.LifeForm			
57	lookup_MistletoePresent	lookup.MistletoePresent			
58	lookup_ModificationType	lookup.ModificationType			
59	lookup_MonitoringStatus	lookup.MonitoringStatus			
60	lookup_Park	lookup.Park			
61	lookup_PersonnelActive	lookup.PersonnelActive			
62	lookup_PersonnelRole	lookup.PersonnelRole			
63	lookup_PhotoSOP	lookup.PhotoSOP			
64	lookup_ProtectedStatus	lookup.ProtectedStatus			
65	lookup_RepeatPhotoType	lookup.RepeatPhotoType			
66	lookup_RiparianVegetationBuffer	lookup.RiparianVegetationBuffer			
67	lookup_SensorProblem	lookup.SensorProblem			
68	lookup_SpringbrookLengthFlag	lookup.SpringbrookLengthFlag			
69	lookup_SpringType	lookup.SpringType			
70	lookup_SubUnit	lookup.SubUnit			
71	lookup_TaxonomicReferenceAuthority	lookup.TaxonomicReferenceAuthority			
72	lookup_TaxonomicStandard	lookup.TaxonomicStandard			
73	lookup_UtmZone	lookup.UtmZone			
74	lookup_VisitType	lookup.VisitType			
75	lookup_WaterQualityDataCollected	lookup.WaterQualityDataCollected			
76	lookup_WildlifeEvidence	lookup.WildlifeEvidence			
77	lookup_WildlifeType	lookup.WildlifeType			
78	metadata_FieldDescriptions	metadata.FieldDescriptions			
79	metadata_TableDescriptions	metadata.TableDescriptions			
80	metadata_ViewDescriptions	metadata.ViewDescriptions			
81	ref_Camera	ref.Camera			
82	ref_CameraCard	ref.CameraCard			
83	ref_GPSUnit	ref.GPSUnit			
84	ref_ParkTaxonProtectedStatus	ref.ParkTaxonProtectedStatus			
85	ref_Personnel	ref.Personnel			
86	ref_PhotoDescriptionCode	ref.PhotoDescriptionCode			
87	ref_Protocol	ref.Protocol			
88	ref_Sensor	ref.Sensor			
89	ref_SensorModel	ref.SensorModel			
90	ref_Taxon	ref.Taxon			
92	ref_SensorMostRecentActivity	ref.SensorMostRecentActivity			
93	ref_SensorAllActivity	ref.SensorAllActivity			
94	ref_SensorMostRecentVisit	ref.SensorMostRecentVisit			
95	analysis_Site	analysis.Site			
96	analysis_Visit	analysis.Visit			
97	analysis_Wildlife	analysis.Wildlife			
98	analysis_Disturbance	analysis.Disturbance			
99	analysis_DischargeFlowCondition	analysis.DischargeFlowCondition			
100	analysis_DischargeVolumetric	analysis.DischargeVolumetric			
101	analysis_DisturbanceFlowModification	analysis.DisturbanceFlowModification			
102	analysis_Invasives	analysis.Invasives			
103	analysis_Riparian	analysis.Riparian			
104	analysis_WaterQualityDO	analysis.WaterQualityDO			
105	analysis_WaterQualitypH	analysis.WaterQualitypH			
